,ISIN,Name,Symbol,Type,TER,Dividendi,Trading Currency
121,LU0328474803,XTRACKERS S&P ASX 200 UCITS ETF,XAUS:MILANO,ETF,"0,50%",Distributing,EUR
122,LU0328475792,XTRACKERS STOXX EUROPE 600 UCITS ETF,XSX6:MILANO,ETF,"0,20%",Accumulating,EUR
123,LU0328476410,XTRACKERS S&P SEL FRONT SWAP UCITS ETF,XSFR:MILANO,ETF,"0,95%",Accumulating,EUR
124,LU0378818131,XTRACKERS II GL GOVT EUR HED C UCITS ETF,XGSH:MILANO,ETF,"0,25%",Accumulating,EUR
125,LU0380865021,XTRACKERS EURO STOXX 50 UCITS ETF 1C,XESC:MILANO,ETF,"0,09%",Accumulating,EUR
126,IE00B3DKXQ41,ISHARES EU AGGREGATE BOND ESG UCITS ETF,IEAG:MILANO,ETF,"0,16%",Distributing,EUR
127,IE00B3F81R35,ISHARES CORE EU CORP BOND UCITS ETF DIST,IEAC:MILANO,ETF,"0,20%",Distributing,EUR
128,IE00B3FH7618,ISHARES EU GOVT BOND 0-1Y UCITS ETF DIST,IEGE:MILANO,ETF,"0,15%",Distributing,EUR
129,IE00B3VWMM18,ISHARES MSCI EMU SMALL CAP UCITS ETF ACC,CSEMUS:MILANO,ETF,"0,58%",Accumulating,EUR
130,IE00B3VWM098,ISHARES MSCI USASMALLCAPESGENA UCITS ETF,CSUSS:MILANO,ETF,"0,43%",Accumulating,EUR
131,IE00B3VTMJ91,ISHARES EU GOVT BOND 1-3YR UCITS ETF ACC,CSBGE3:MILANO,ETF,"0,15%",Accumulating,EUR
132,IE00B3VTML14,ISHARES EU GOVT BOND 3-7YR UCITS ETF ACC,CSBGE7:MILANO,ETF,"0,15%",Accumulating,EUR
133,IE00B3VWN179,ISHARES $ TREA 1-3YR UCITS ETF USD ACC B,CSBGU3:MILANO,ETF,"0,07%",Accumulating,EUR
134,IE00B3VWN393,ISHARES $ TREASURY 3-7YR UCITS ETF ACC,CSBGU7:MILANO,ETF,"0,07%",Accumulating,EUR
135,IE00B4L5YC18,ISHARES MSCI EM UCITS ETF USD ACC,SEMA:MILANO,ETF,"0,18%",Accumulating,EUR
136,IE00B4K48X80,ISHARESCOREMSCIEUROPE€(ACC) UCITS ETF,SMEA:MILANO,ETF,"0,12%",Accumulating,EUR
137,IE00B4L5YX21,ISHARES CORE MSCI JAP IMI UCITS ETF ACC,SJPA:MILANO,ETF,"0,15%",Accumulating,EUR
138,IE00B4L5Y983,ISHARES CORE MSCI WORLD UCITS ETF ACC,SWDA:MILANO,ETF,"0,20%",Accumulating,EUR
139,IE00B4WXJD03,ISHARES MSCI PACIFIC EX-J UCITS ETF DIST,SPXJ:MILANO,ETF,"0,60%",Distributing,EUR
140,IE00B4WXJG34,ISHARES EU GOVT BOND 5-7Y UCITS ETF DIST,IBGY:MILANO,ETF,"0,15%",Distributing,EUR
141,IE00B4WXJH41,ISHARES EU GOVT 10-15YR UCITS ETF DIST,IBGZ:MILANO,ETF,"0,15%",Distributing,EUR
142,IE00B4WXJJ64,ISHARES CORE EU GOVT BOND UCITS ETF DIST,SEGA:MILANO,ETF,"0,09%",Distributing,EUR
143,IE00B4L60045,ISHARES EU COR BOND 1-5YR UCITS ETF DIST,SE15:MILANO,ETF,"0,20%",Distributing,EUR
144,IE00B4QNHH68,L&G DAX DAILY 2X LONG UCITS ETF,DEL2:MILANO,STRUCTURED ETF,"0,40%",Accumulating,EUR
145,IE00B4QNHZ41,L&G DAX DAILY 2X SHORT UCITS ETF,DES2:MILANO,STRUCTURED ETF,"0,60%",Accumulating,EUR
146,IE00B53L3W79,ISHARES CORE EURO STOXX 50 UCITS ETF ACC,CSSX5E:MILANO,ETF,"0,10%",Accumulating,EUR
147,IE00B53L4X51,ISHARES FTSE MIB UCITS ETF EUR ACC,CSMIB:MILANO,ETF,"0,33%",Accumulating,EUR
148,IE00B52MJD48,ISHARES NIKKEI 225 UCITS ETF JPY ACC,CSNKY:MILANO,ETF,"0,48%",Accumulating,EUR
149,IE00B52MJY50,ISHARES CORE MSCI PAC EX-J UCITS ETF ACC,CSPXJ:MILANO,ETF,"0,20%",Accumulating,EUR
150,IE00B539F030,ISHARES MSCI UK UCITS ETF ACC,CSUK:MILANO,ETF,"0,33%",Accumulating,EUR
151,IE00B53QDK08,ISHARESMSCIJAPAN UCITS ETF,CSJP:MILANO,ETF,"0,48%",Accumulating,EUR
152,IE00B53QG562,ISHARESCOREMSCIEMU(ACC) UCITS ETF,CSEMU:MILANO,ETF,"0,12%",Accumulating,EUR
153,IE00B53SZB19,ISHARES NASDAQ 100 UCITS ETF USD ACC,CSNDX:MILANO,ETF,"0,33%",Accumulating,EUR
154,IE00B52SFT06,ISHARES MSCI USA UCITS ETF USD ACC,CSUS:MILANO,ETF,"0,07%",Accumulating,EUR
155,IE00B52SF786,ISHARES MSCI CANADA UCITS ETF USD ACC,CSCA:MILANO,ETF,"0,48%",Accumulating,EUR
156,FR0010755611,AMUNDI LEV MSCI USA DAILY UCITS ETF,CL2:MILANO,STRUCTURED ETF,"0,35%",Accumulating,EUR
157,FR0010791194,AMUNDI SHORT MSCI USA DAILY UCITS ETF,C2U:MILANO,STRUCTURED ETF,"0,35%",Accumulating,EUR
158,FR0010757781,AMUNDI SHORT EU STOXX 50 DAILY UCITS ETF,C5S:MILANO,STRUCTURED ETF,"0,30%",Accumulating,EUR
159,FR0010688176,AMUNDI MSCI EUROPE BANKS UCITS ETF,CB5:MILANO,ETF,"0,25%",Accumulating,EUR
160,FR0010688192,AMUNDI MSCI EUROPE HEALTHCARE UCITS ETF,CH5:MILANO,ETF,"0,25%",Accumulating,EUR
161,FR0010754127,AMUNDI EURO INFLATION DR UCITS ETF,CI3:MILANO,ETF,"0,16%",Accumulating,EUR
162,FR0010821819,AMUNDI MSCI EUROPE EX EMU UCITS ETF,CU9:MILANO,ETF,"0,30%",Accumulating,EUR
163,FR0010756114,AMUNDI MSCI WORLD EX EMU UCITS ETF,CM9:MILANO,ETF,"0,35%",Accumulating,EUR
164,LU0411078636,XTRACK S&P500 2X INV DAIL SWAP UCITS ETF,XT21:MILANO,STRUCTURED ETF,"0,70%",Accumulating,EUR
165,LU0411078552,XTRACK S&P500 2X LEV DAY SWAP UCITS ETF,XS2L:MILANO,STRUCTURED ETF,"0,60%",Accumulating,EUR
166,IE00B5BMR087,ISHARES CORE S&P 500 UCITS ETF USD ACC,CSSPX:MILANO,ETF,"0,07%",Accumulating,EUR
167,LU0496786574,LYXOR S&P 500 UCITS ETF - DIST,SPX:MILANO,ETF,"0,09%",Distributing,EUR
168,LU0136234068,UBS EURO STOXX 50 UCITS ETF A-DIS,E50EUA:MILANO,ETF,"0,15%",Distributing,EUR
169,LU0147308422,UBS MSCI EMU UCITS ETF A-DIS,EMUEUA:MILANO,ETF,"0,17%",Distributing,EUR
170,LU0446734369,UBS MSCI EMU VALUE UCITS ETF A-DIS,EMVEUA:MILANO,ETF,"0,25%",Distributing,EUR
171,LU0446734104,UBS MSCI EUROPE UCITS ETF A-DIS,EUREUA:MILANO,ETF,"0,20%",Distributing,EUR
172,LU0136240974,UBS MSCI JAPAN UCITS ETF A-DIS,JPNEUA:MILANO,ETF,"0,19%",Distributing,EUR
173,LU0446734526,UBS MSCI PACIFIC EX JPN UCITS ETF A-DIS,PACEUA:MILANO,ETF,"0,30%",Distributing,EUR
174,LU0136234654,UBS MSCI USA UCITS ETF A-DIS,USAEUA:MILANO,ETF,"0,14%",Distributing,EUR
175,LU0340285161,UBS MSCI WORLD UCITS ETF A-DIS,WRDEUA:MILANO,ETF,"0,30%",Distributing,EUR
176,LU0446734872,UBS MSCI CANADA UCITS ETF A-DIS,CANEUA:MILANO,ETF,"0,33%",Distributing,EUR
177,LU0478205379,XTRACKERS II EUR CORPORAT BOND UCITS ETF,XBLC:MILANO,ETF,"0,16%",Accumulating,EUR
178,FR0010869578,LYXOR BUND DAILY -2X INVER UCITS ETF ACC,BUND2S:MILANO,STRUCTURED ETF,"0,20%",Accumulating,EUR
179,FR0010869495,LYXOR DAILY SHORTDAX X2 UCITS ETF - ACC,DAX2S:MILANO,STRUCTURED ETF,"0,60%",Accumulating,EUR
180,LU0476289466,XTRACKERS MSCI MEXICO UCITS ETF,XMEX:MILANO,ETF,"0,65%",Accumulating,EUR
181,LU0476289540,XTR MSCI CANADA ESG SCREENED UCITS ETF,XCAN:MILANO,ETF,"0,35%",Accumulating,EUR
182,LU0489337690,XTRACKERS FTSE DEV EU REAL EST UCITS ETF,XDER:MILANO,ETF,"0,40%",Accumulating,EUR
183,LU0490618542,XTRACKERS S&P 500 SWAP UCITS ETF 1C,XSPX:MILANO,ETF,"0,20%",Accumulating,EUR
184,LU0496786905,LYXOR AUSTRAL S&P/ASX 200 UCITS ETF DIST,AUST:MILANO,ETF,"0,40%",Distributing,EUR
185,FR0010754135,AMUNDI GOV EUR BR IG 1-3 DR UCITS ETF,C13:MILANO,ETF,"0,14%",Accumulating,EUR
186,FR0010754184,AMUNDI GOV EUR BR IG 7-10 DR UCITS ETF,C73:MILANO,ETF,"0,14%",Accumulating,EUR
187,FR0010754143,AMNDI GOV EUR BR IG 10-15 DR UCITS ETF,C10:MILANO,ETF,"0,14%",Accumulating,EUR
188,FR0010754200,AMUNDI GOVIES 0-6 M EUR IG DR UCITS ETF,C3M:MILANO,ETF,"0,14%",Accumulating,EUR
189,FR0010754168,AMUNDI GOV EUR BR IG 3-5 DR UCITS ETF,C33:MILANO,ETF,"0,14%",Accumulating,EUR
190,FR0010754176,AMUNDI GOV EUR BR IG 5-7 DR UCITS ETF,C53:MILANO,ETF,"0,14%",Accumulating,EUR
191,FR0010655712,AMUNDI ETF DAX UCITS ETF DR,CG1:MILANO,ETF,"0,10%",Accumulating,EUR
192,IE00B5WHFQ43,ISHARES MSCI MEX CAP UCITS ETF USD ACC,CSMXCP:MILANO,ETF,"0,65%",Accumulating,EUR
193,IE00B5W4TY14,ISHARES MSCI KOREA UCITS ETF USD ACC,CSKR:MILANO,ETF,"0,65%",Accumulating,EUR
